"","phenotype","description","group"
"862","500.1","Extrinsic allergic alveolitis","respiratory"
"863","496","Chronic airway obstruction","respiratory"
"864","500.2","Pneumoconiosis","respiratory"
"865","500","Lung disease due to external agents","respiratory"
"866","501","Pneumonitis due to inhalation of food or vomitus","respiratory"
"867","506","Empyema and pneumothorax","respiratory"
"868","507","Pleurisy; pleural effusion","respiratory"
"869","503","Pulmonary congestion and hypostasis","respiratory"
"870","502","Postinflammatory pulmonary fibrosis","respiratory"
"871","504","Other alveolar and parietoalveolar pneumonopathy","respiratory"
"872","504.1","Idiopathic fibrosing alveolitis","respiratory"
"873","510","Other diseases of lung","respiratory"
"874","709.3","Systemic sclerosis","dermatologic"
"875","509","Respiratory failure, insufficiency, arrest","respiratory"
"876","508","Pulmonary collapse; interstitial and compensatory emphysema","respiratory"
"877","505","Other pulmonary inflamation or edema","respiratory"
"878","509.3","Pulmonary insufficiency or respiratory failure following trauma and surgery","respiratory"
"879","509.1","Respiratory failure","respiratory"
"880","509.2","Respiratory insufficiency","respiratory"
"881","512","Other symptoms of respiratory system","respiratory"
"882","519.1","Tracheostomy complications","respiratory"
"883","080","Postoperative infection","infectious diseases"
"884","498","Acute bronchospasm","respiratory"
"885","513.8","Disorders of diaphragm","respiratory"
"886","519.8","Other diseases of respiratory system, NEC","respiratory"
"887","519","Other diseases of respiratory system, not elsewhere classified","respiratory"
"888","520","Disorders of tooth development","digestive"
"889","520.1","Hereditary disturbances in tooth structure","digestive"
"890","520.2","Disturbances in tooth eruption","digestive"
"891","521","Diseases of hard tissues of teeth","digestive"
"892","521.1","Dental caries","digestive"
"893","521.2","Dental abrasion, erosion and attrition","digestive"
"894","521.4","Tooth complications likely association with other diseases","digestive"
"895","522","Diseases of pulp and periapical tissues","digestive"
"896","522.1","Pulpitis and necrosis of tooth pulp","digestive"
"897","523.31","Acute periodontitis","digestive"
"898","522.5","Periapical abscess","digestive"
"899","523.32","Chronic periodontitis","digestive"
"900","523","Gingival and periodontal diseases","digestive"
"901","523.1","Gingivitis","digestive"
"902","523.3","Periodontitis (acute or chronic)","digestive"
"903","524","Dentofacial anomalies, including malocclusion","digestive"
"904","526.3","Anomalies of jaw size/symmetry","digestive"
"905","524.3","Anomalies of tooth position/malocclusion","digestive"
"906","526.4","Temporomandibular joint disorders","digestive"
"907","526.41","Temporomandibular joint disorder, unspecified","digestive"
