"","phenotype","description","group"
"1","008","Intestinal infection","infectious diseases"
"2","008.5","Bacterial enteritis","infectious diseases"
"3","038.1","Gram negative septicemia","infectious diseases"
"4","320","Meningitis","neurological"
"5","480.1","Bacterial pneumonia","respiratory"
"6","711","Arthropathy associated with infections","musculoskeletal"
"7","710.1","Osteomyelitis","musculoskeletal"
"8","008.7","Intestinal infection due to protozoa","infectious diseases"
"9","008.51","Intestinal e.coli","infectious diseases"
"10","008.52","Intestinal infection due to C. difficile","infectious diseases"
"11","008.6","Viral Enteritis","infectious diseases"
"12","010","Tuberculosis","infectious diseases"
"13","041","Bacterial infection NOS","infectious diseases"
"14","686","Other local infections of skin and subcutaneous tissue","dermatologic"
"15","369","Infection of the eye","sense organs"
"16","038.2","Gram positive septicemia","infectious diseases"
"17","031.1","Leprosy","infectious diseases"
"18","031","Diseases due to other mycobacteria","infectious diseases"
"19","465","Acute upper respiratory infections of multiple or unspecified sites","respiratory"
"20","420.1","Myocarditis","circulatory system"
"21","567","Peritonitis and retroperitoneal infections","digestive"
"22","592.1","Cystitis","genitourinary"
"23","041.2","Streptococcus infection","infectious diseases"
"24","323","Encephalitis","neurological"
"25","420","Carditis","circulatory system"
"26","420.2","Pericarditis","circulatory system"
"27","420.3","Endocarditis","circulatory system"
"28","038","Septicemia","infectious diseases"
"29","657","Infections specific to the perinatal period","pregnancy complications"
"30","041.1","Staphylococcus infections","infectious diseases"
"31","041.11","Methicillin sensitive Staphylococcus aureus","infectious diseases"
"32","041.12","Methicillin resistant Staphylococcus aureus","infectious diseases"
"33","041.4","E. coli","infectious diseases"
"34","041.8","H. pylori","infectious diseases"
"35","071.1","HIV infection, symptomatic","infectious diseases"
"36","071","Human immunodeficiency virus [HIV] disease","infectious diseases"
"37","324","Other CNS infection and poliomyelitis","neurological"
"38","324.1","Jakob-Creutzfeldt disease","neurological"
"39","079","Viral infection","infectious diseases"
"40","079.1","Varicella infection","infectious diseases"
"41","480.2","Viral pneumonia","respiratory"
"42","053","Herpes zoster","infectious diseases"
"43","053.1","Herpes zoster with nervous system complications","infectious diseases"
"44","369.2","Eye infection, viral","sense organs"
"45","054","Herpes simplex","infectious diseases"
"46","381.1","Otitis media","sense organs"
"47","070","Viral hepatitis","infectious diseases"
"48","070.1","Viral hepatitis A","infectious diseases"
"49","070.2","Viral hepatitis B","infectious diseases"
"50","070.3","Viral hepatitis C","infectious diseases"
"51","079.2","Infectious mononucleosis","infectious diseases"
"52","078","Viral warts & HPV","infectious diseases"
"53","136","Other infectious and parasitic diseases","infectious diseases"
"54","133","Arthropod-borne diseases","infectious diseases"
"55","130","Spirochetal infection","infectious diseases"
"56","130.1","Lyme disease","infectious diseases"
"57","090","Sexually transmitted infections (not HIV or hepatitis)","infectious diseases"
"58","090.2","Gonococcal infections","infectious diseases"
"59","711.2","Reiter's disease","musculoskeletal"
"60","090.3","Venereal diseases due to Chlamydia trachomatis","infectious diseases"
"61","110","Dermatophytosis / Dermatomycosis","infectious diseases"
"62","110.1","Dermatophytosis","infectious diseases"
"63","110.11","Dermatophytosis of nail","infectious diseases"
"64","110.13","Dermatophytosis of the body","infectious diseases"
"65","110.12","Althete's foot","infectious diseases"
"66","110.2","Dermatomycoses","infectious diseases"
"67","112","Candidiasis","infectious diseases"
"68","112.3","Candidiasis of skin and nails","infectious diseases"
"69","480.3","Pneumonia due to fungus (mycoses)","respiratory"
"70","117.2","Coccidioidomycosis","infectious diseases"
"71","117.1","Histoplasmosis","infectious diseases"
"72","117.3","Blastomycotic infection","infectious diseases"
"73","117","Mycoses","infectious diseases"
"74","117.4","Aspergillosis","infectious diseases"
"75","134","Helminthiases","infectious diseases"
"76","134.1","Intestinal helminthiases","infectious diseases"
"77","131","Protozoan infection","infectious diseases"
"78","480","Pneumonia","respiratory"
"79","132.1","Pediculosis and phthirus infestation","infectious diseases"
"80","132","Infestation (lice, mites)","infectious diseases"
"81","697","Sarcoidosis","dermatologic"
"82","711.3","Behcet's syndrome","musculoskeletal"
"83","145.1","Cancer of lip","neoplasms"
"84","145.2","Cancer of tongue","neoplasms"
"85","145.3","Cancer of major salivary glands","neoplasms"
"86","145.4","Cancer of the gums","neoplasms"
"87","145.5","Cancer of the mouth floor","neoplasms"
"88","145","Cancer of mouth","neoplasms"
"89","149.1","Cancer of oropharynx","neoplasms"
"90","149.2","Cancer of nasopharynx","neoplasms"
"91","149.3","Cancer of hypopharynx","neoplasms"
"92","149","Cancer of larynx, pharynx, nasal cavities","neoplasms"
"93","150","Cancer of esophagus","neoplasms"
"94","151","Cancer of stomach","neoplasms"
"95","159.2","Malignant neoplasm of small intestine, including duodenum","neoplasms"
"96","153.2","Colon cancer","neoplasms"
"97","153.3","Malignant neoplasm of rectum, rectosigmoid junction, and anus","neoplasms"
"98","153","Colorectal cancer","neoplasms"
"99","155","Cancer of liver and intrahepatic bile duct","neoplasms"
"100","155.1","Malignant neoplasm of liver, primary","neoplasms"
"101","159.3","Malignant neoplasm of gallbladder and extrahepatic bile ducts","neoplasms"
"102","157","Pancreatic cancer","neoplasms"
"103","159.4","Malignant neoplasm of retroperitoneum and peritoneum","neoplasms"
"104","159","Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum","neoplasms"
"105","149.9","Cancer of of nasal cavities","neoplasms"
"106","149.4","Cancer of larynx","neoplasms"
"107","165.1","Cancer of bronchus; lung","neoplasms"
"108","165","Cancer within the respiratory system","neoplasms"
"109","164","Cancer of intrathoracic organs","neoplasms"
"110","170","Cancer of bone and connective tissue","neoplasms"
"111","170.1","Bone cancer","neoplasms"
"112","170.2","Cancer of connective tissue","neoplasms"
"113","172.11","Melanomas of skin","neoplasms"
"114","172.2","Other non-epithelial cancer of skin","neoplasms"
"115","172.21","Basal cell carcinoma","neoplasms"
"116","172.22","Squamous cell carcinoma","neoplasms"
"117","174.11","Malignant neoplasm of female breast","neoplasms"
"118","174.2","Breast cancer [male]","neoplasms"
"119","230","Kaposi's sarcoma","neoplasms"
"120","182","Malignant neoplasm of uterus","neoplasms"
"121","180","Cervical cancer and dysplasia","neoplasms"
"122","180.1","Cervical cancer","neoplasms"
"123","184.1","Malignant neoplasm of ovary and other uterine adnexa","neoplasms"
"124","184.11","Malignant neoplasm of ovary","neoplasms"
"125","184.2","Cancer of other female genital organs (excluding uterus and ovary)","neoplasms"
"126","185","Cancer of prostate","neoplasms"
"127","187.2","Malignant neoplasm of testis","neoplasms"
"128","187","Cancer of other male genital organs","neoplasms"
"129","187.1","Malignant neoplasm of unspecified male genital organ","neoplasms"
"130","189.21","Malignant neoplasm of bladder","neoplasms"
"131","189.4","Malignant neoplasm of other urinary organs","neoplasms"
"132","189.11","Malignant neoplasm of kidney, except pelvis","neoplasms"
"133","189.12","Malignant neoplasm of renal pelvis","neoplasms"
"134","190","Cancer of eye","neoplasms"
"135","191.11","Cancer of brain","neoplasms"
"136","191.1","Cancer of brain and nervous system","neoplasms"
"137","193","Thyroid cancer","neoplasms"
"138","194","Cancer of other endocrine glands","neoplasms"
"139","195.1","Malignant neoplasm, other","neoplasms"
"140","198.1","Secondary malignancy of lymph nodes","neoplasms"
"141","198","Secondary malignant neoplasm","neoplasms"
"142","198.2","Secondary malignancy of respiratory organs","neoplasms"
"143","198.3","Secondary malignant neoplasm of digestive systems","neoplasms"
"144","198.4","Secondary malignant neoplasm of liver","neoplasms"
"145","198.7","Secondary malignant neoplasm of skin","neoplasms"
"146","198.5","Secondary malignancy of brain/spine","neoplasms"
"147","198.6","Secondary malignancy of bone","neoplasms"
"148","851","Complications of transplants and reattached limbs","injuries & poisonings"
"149","202.2","Non-Hodgkins lymphoma","neoplasms"
"150","202.22","Reticulosarcoma","neoplasms"
"151","202.23","Lymphosarcoma","neoplasms"
"152","202.24","Large cell lymphoma","neoplasms"
"153","201","Hodgkin's disease","neoplasms"
"154","202","Cancer of other lymphoid, histiocytic tissue","neoplasms"
"155","202.21","Nodular lymphoma","neoplasms"
"156","204","Leukemia","neoplasms"
"157","204.4","Multiple myeloma","neoplasms"
"158","204.1","Lymphoid leukemia","neoplasms"
"159","204.11","Lymphoid leukemia, acute","neoplasms"
"160","204.12","Lymphoid leukemia, chronic","neoplasms"
"161","204.2","Myeloid leukemia","neoplasms"
"162","204.21","Myeloid leukemia, acute","neoplasms"
"163","204.22","Myeloid leukemia, chronic","neoplasms"
"164","204.3","Monocytic leukemia","neoplasms"
"165","199","Neoplasm of uncertain behavior","neoplasms"
"166","195","Cancer, suspected or other","neoplasms"
"167","189.1","Cancer of kidney and renal pelvis","neoplasms"
"168","209","Neuroendocrine tumors","neoplasms"
"169","208","Benign neoplasm of colon","neoplasms"
"170","210","Benign neoplasm of lip, oral cavity, and pharynx","neoplasms"
"171","211","Benign neoplasm of other parts of digestive system","neoplasms"
"172","212","Benign neoplasm of respiratory and intrathoracic organs","neoplasms"
"173","213","Benign neoplasm of bone and articular cartilage","neoplasms"
"174","214","Lipoma","neoplasms"
"175","214.1","Lipoma of skin and subcutaneous tissue","neoplasms"
"176","215","Other benign neoplasm of connective and other soft tissue","neoplasms"
"177","216","Benign neoplasm of skin","neoplasms"
"178","610.4","Benign neoplasm of breast","genitourinary"
"179","218.1","Uterine leiomyoma","neoplasms"
"180","218","Benign neoplasm of uterus","neoplasms"
"181","218.2","Other benign neoplasm of uterus","neoplasms"
"182","220","Benign neoplasm of ovary","neoplasms"
"183","221","Benign neoplasm of other female genital organs","neoplasms"
"184","222","Benign neoplasm of male genital organs","neoplasms"
"185","223","Benign neoplasm of kidney and other urinary organs","neoplasms"
"186","224","Benign neoplasm of eye","neoplasms"
"187","224.1","Benign neoplasm of eye, uveal","neoplasms"
"188","225","Benign neoplasm of brain and other parts of nervous system","neoplasms"
"189","225.1","Benign neoplasm of brain, cranial nerves, meninges","neoplasms"
"190","225.2","Benign neoplasm of spinal cord, meninges","neoplasms"
"191","226","Benign neoplasm of thyroid glands","neoplasms"
"192","227","Benign neoplasm of other endocrine glands and related structures","neoplasms"
"193","227.1","Benign neoplasm of adrenal gland","neoplasms"
"194","227.2","Benign neoplasm of parathyroid gland","neoplasms"
"195","227.3","Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)","neoplasms"
"196","228","Hemangioma and lymphangioma, any site","neoplasms"
"197","228.1","Hemangioma of skin and subcutaneous tissue","neoplasms"
"198","229","Benign neoplasm of unspecified sites","neoplasms"
"199","229.1","Benign neoplasm of lymph nodes","neoplasms"
"200","172","Skin cancer","neoplasms"
"201","172.3","Carcinoma in situ of skin","neoplasms"
"202","174","Breast cancer","neoplasms"
"203","174.1","Breast cancer [female]","neoplasms"
"204","180.3","Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia]","neoplasms"
"205","189.2","Cancer of bladder","neoplasms"
"206","189","Cancer of urinary organs (incl. kidney and bladder)","neoplasms"
"207","158","Neoplasm of unspecified nature of digestive system","neoplasms"
"208","184","Cancer of other female genital organs","neoplasms"
"209","187.8","Neoplasm of uncertain behavior of male genital organs","neoplasms"
"210","191","Manlignant and unknown neoplasms of brain and nervous system","neoplasms"
"211","199.4","Neurofibromatosis","neoplasms"
"212","173","Neoplasm of uncertain behavior of skin","neoplasms"
"213","174.3","Neoplasm of uncertain behavior of breast","neoplasms"
"214","200.1","Polycythemia vera","neoplasms"
"215","200","Myeloproliferative disease","neoplasms"
"216","240","Simple and unspecified goiter","endocrine/metabolic"
"217","241","Nontoxic nodular goiter","endocrine/metabolic"
"218","241.1","Nontoxic uninodular goiter","endocrine/metabolic"
"219","241.2","Nontoxic multinodular goiter","endocrine/metabolic"
"220","242","Thyrotoxicosis with or without goiter","endocrine/metabolic"
"221","242.1","Graves' disease","endocrine/metabolic"
"222","242.2","Toxic multinodular goiter","endocrine/metabolic"
"223","244.5","Congenital hypothyroidism","endocrine/metabolic"
"224","244","Hypothyroidism","endocrine/metabolic"
"225","244.1","Secondary hypothyroidism","endocrine/metabolic"
"226","244.3","Iodine hypothyroidism","endocrine/metabolic"
"227","244.2","Acquired hypothyroidism","endocrine/metabolic"
"228","244.4","Hypothyroidism NOS","endocrine/metabolic"
"229","245","Thyroiditis","endocrine/metabolic"
"230","245.1","Thyroiditis, acute and subacute","endocrine/metabolic"
"231","245.21","Chronic lymphocytic thyroiditis","endocrine/metabolic"
"232","245.2","Chronic thyroiditis","endocrine/metabolic"
"233","246","Other disorders of thyroid","endocrine/metabolic"
"234","246.2","Thyroid cyst","endocrine/metabolic"
"235","249","Secondary diabetes mellitus","endocrine/metabolic"
"236","250","Diabetes mellitus","endocrine/metabolic"
"237","250.2","Type 2 diabetes","endocrine/metabolic"
"238","250.1","Type 1 diabetes","endocrine/metabolic"
"239","250.21","Type 2 diabetes with ketoacidosis","endocrine/metabolic"
"240","250.11","Type 1 diabetes with ketoacidosis","endocrine/metabolic"
"241","250.22","Type 2 diabetes with renal manifestations","endocrine/metabolic"
"242","250.12","Type 1 diabetes with renal manifestations","endocrine/metabolic"
"243","250.23","Type 2 diabetes with ophthalmic manifestations","endocrine/metabolic"
"244","250.13","Type 1 diabetes with ophthalmic manifestations","endocrine/metabolic"
"245","250.24","Type 2 diabetes with neurological manifestations","endocrine/metabolic"
"246","250.14","Type 1 diabetes with neurological manifestations","endocrine/metabolic"
"247","250.25","Diabetes type 2 with peripheral circulatory disorders","endocrine/metabolic"
"248","250.15","Diabetes type 1 with peripheral circulatory disorders","endocrine/metabolic"
"249","251","Other disorders of pancreatic internal secretion","endocrine/metabolic"
"250","251.1","Hypoglycemia","endocrine/metabolic"
"251","258","Iatrogenic endocrine disorders","endocrine/metabolic"
"252","251.8","Abnormality of secretion of glucagon or gastrin","endocrine/metabolic"
"253","252","Disorders of parathyroid gland","endocrine/metabolic"
"254","252.1","Hyperparathyroidism","endocrine/metabolic"
"255","252.2","Hypoparathyroidism","endocrine/metabolic"
"256","253","Disorders of the pituitary gland and its hypothalamic control","endocrine/metabolic"
"257","253.11","Acromegaly and gigantism","endocrine/metabolic"
"258","253.1","Pituitary hyperfunction","endocrine/metabolic"
"259","253.2","Pituitary hypofunction","endocrine/metabolic"
"260","253.5","Pituitary dwarfism","endocrine/metabolic"
"261","253.4","Anterior pituitary disorders","endocrine/metabolic"
"262","253.3","Diabetes insipidus","endocrine/metabolic"
"263","253.7","Other disorders of neurohypophysis","endocrine/metabolic"
"264","254","Diseases of thymus gland","endocrine/metabolic"
"265","255","Disorders of adrenal glands","endocrine/metabolic"
"266","255.11","Cushing's syndrome","endocrine/metabolic"
"267","255.12","Hyperaldosteronism","endocrine/metabolic"
"268","255.3","Adrenogenital disorders","endocrine/metabolic"
"269","255.1","Adrenal hyperfunction","endocrine/metabolic"
"270","255.2","Adrenal hypofunction","endocrine/metabolic"
"271","255.21","Glucocorticoid deficiency","endocrine/metabolic"
"272","255.22","Mineralocorticoid deficiency","endocrine/metabolic"
"273","255.13","Medulloadrenal hyperfunction","endocrine/metabolic"
"274","256","Ovarian dysfunction","endocrine/metabolic"
"275","256.1","Hyperestrogenism","endocrine/metabolic"
"276","258.1","Postablative ovarian failure","endocrine/metabolic"
"277","627.5","Premature menopause and other ovarian failure","genitourinary"
"278","256.4","Polycystic ovaries","endocrine/metabolic"
"279","257","Testicular dysfunction","endocrine/metabolic"
"280","257.1","Testicular hypofunction","endocrine/metabolic"
"281","259","Other endocrine disorders","endocrine/metabolic"
"282","259.8","Polyglandular activity in multiple endocrine adenomatosis","endocrine/metabolic"
"283","259.3","Delay in sexual development and puberty NEC","endocrine/metabolic"
"284","259.4","Precocious sexual development and puberty NEC","endocrine/metabolic"
"285","259.2","Carcinoid syndrome","endocrine/metabolic"
"286","260.21","Kwashiorkor","endocrine/metabolic"
"287","260.22","Nutritional marasmus","endocrine/metabolic"
"288","260.2","severe protein-calorie malnutrition","endocrine/metabolic"
"289","260","Protein-calorie malnutrition","endocrine/metabolic"
"290","261","Vitamin deficiency","endocrine/metabolic"
"291","261.1","Vitamin A deficiency","endocrine/metabolic"
"292","261.2","Vitamin B-complex deficiencies","endocrine/metabolic"
"293","261.3","Vitamin C deficiencies","endocrine/metabolic"
"294","261.4","Vitamin D deficiency","endocrine/metabolic"
"295","261.41","Rickets or osteomalacia","endocrine/metabolic"
"296","263","Other nutritional deficiency","endocrine/metabolic"
"297","262","Mineral deficiency NEC","endocrine/metabolic"
"298","270","Disorders of protein plasma/amino-acid transport and metabolism","endocrine/metabolic"
"299","270.1","Disturbances of amino-acid transport","endocrine/metabolic"
"300","270.12","Phenylketonuria [PKU]","endocrine/metabolic"
"301","270.11","Disturbances of sulphur-bearing amino-acid metabolism","endocrine/metabolic"
"302","270.2","Disorders of amino-acid metabolism","endocrine/metabolic"
"303","270.21","Disorders of urea cycle metabolism","endocrine/metabolic"
"304","271","Disorders of carbohydrate transport and metabolism","endocrine/metabolic"
"305","271.9","Other disorders of carbohydrate transport and metabolism","endocrine/metabolic"
"306","271.3","Intestinal disaccharidase deficiencies and disaccharide malabsorption","endocrine/metabolic"
"307","272","Disorders of lipoid metabolism","endocrine/metabolic"
"308","272.11","Hypercholesterolemia","endocrine/metabolic"
"309","272.12","Hyperglyceridemia","endocrine/metabolic"
"310","272.13","Mixed hyperlipidemia","endocrine/metabolic"
"311","272.14","Hyperchylomicronemia","endocrine/metabolic"
"312","272.1","Hyperlipidemia","endocrine/metabolic"
"313","277.51","Lipoprotein disorders","endocrine/metabolic"
"314","277.5","Other disorders of lipoid metabolism","endocrine/metabolic"
"315","272.9","Unspecified disorder of lipoid metabolism","endocrine/metabolic"
"316","270.3","Disorders of plasma protein metabolism","endocrine/metabolic"
"317","270.31","Polyclonal hypergammaglobulinemia","endocrine/metabolic"
"318","270.32","Paraproteinemia","endocrine/metabolic"
"319","270.35","Macroglobulinemia","endocrine/metabolic"
"320","270.34","Alpha-1-antitrypsin deficiency","endocrine/metabolic"
"321","270.38","Other specified disorders of plasma protein metabolism","endocrine/metabolic"
"322","274.1","Gout","endocrine/metabolic"
"323","274.11","Gouty arthropathy","endocrine/metabolic"
"324","275","Disorders of mineral metabolism","endocrine/metabolic"
"325","275.1","Disorders of iron metabolism","hematopoietic"
"326","275.11","Hereditary hemochromatosis","hematopoietic"
"327","275.2","Disorders of copper metabolism","endocrine/metabolic"
"328","275.3","Disorders of magnesium metabolism","endocrine/metabolic"
"329","275.53","Disorders of phosphorus metabolism","endocrine/metabolic"
"330","275.5","Disorders of calcium/phosphorus metabolism","endocrine/metabolic"
"331","275.51","Hypocalcemia","endocrine/metabolic"
"332","275.6","Hypercalcemia","endocrine/metabolic"
"333","276","Disorders of fluid, electrolyte, and acid-base balance","endocrine/metabolic"
"334","276.11","Hyperosmolality and/or hypernatremia","endocrine/metabolic"
"335","276.12","Hyposmolality and/or hyponatremia","endocrine/metabolic"
"336","276.41","Acidosis","endocrine/metabolic"
"337","276.42","Alkalosis","endocrine/metabolic"
"338","276.4","Acid-base balance disorder","endocrine/metabolic"
"339","276.5","Hypovolemia","endocrine/metabolic"
"340","276.6","Fluid overload","endocrine/metabolic"
"341","942","Infusion and transfusion reaction","injuries & poisonings"
"342","276.13","Hyperpotassemia","endocrine/metabolic"
"343","276.14","Hypopotassemia","endocrine/metabolic"
"344","276.1","Electrolyte imbalance","endocrine/metabolic"
"345","277","Other disorders of metabolism","endocrine/metabolic"
"346","499","Cystic fibrosis","respiratory"
"347","277.1","Disorders of porphyrin metabolism","endocrine/metabolic"
"348","277.2","Other disorders of purine and pyrimidine metabolism","endocrine/metabolic"
"349","270.33","Amyloidosis","endocrine/metabolic"
"350","277.4","Disorders of bilirubin excretion","endocrine/metabolic"
"351","277.6","Other deficiencies of circulating enzymes","endocrine/metabolic"
"352","277.7","Dysmetabolic syndrome X","endocrine/metabolic"
"353","277.8","Carnitine deficiencies","endocrine/metabolic"
"354","278","Overweight, obesity and other hyperalimentation","endocrine/metabolic"
"355","278.1","Obesity","endocrine/metabolic"
"356","278.11","Morbid obesity","endocrine/metabolic"
"357","513.3","Hypoventilation","respiratory"
"358","278.3","Localized adiposity","endocrine/metabolic"
"359","279","Disorders involving the immune mechanism","endocrine/metabolic"
"360","279.11","Deficiency of humoral immunity","endocrine/metabolic"
"361","279.1","Immunity deficiency","endocrine/metabolic"
"362","279.2","Autoimmune disease NEC","endocrine/metabolic"
"363","081.1","Graft-versus-host disease","infectious diseases"
"364","081.11","Acute graft-versus-host disease","infectious diseases"
"365","081.12","Chronic graft-versus-host disease","infectious diseases"
"366","279.8","Other specified disorders involving the immune mechanism","endocrine/metabolic"
"367","280","Iron deficiency anemias","hematopoietic"
"368","280.2","Iron deficiency anemia secondary to blood loss (chronic)","hematopoietic"
"369","280.1","Iron deficiency anemias, unspecified or not due to blood loss","hematopoietic"
"370","281","Other deficiency anemia","hematopoietic"
"371","281.11","Pernicious anemia","hematopoietic"
"372","281.12","Other vitamin B12 deficiency anemia","hematopoietic"
"373","281.13","Folate-deficiency anemia","hematopoietic"
"374","281.1","Megaloblastic anemia","hematopoietic"
"375","281.9","Deficiency anemias","hematopoietic"
"376","282","Hereditary hemolytic anemias","hematopoietic"
"377","282.9","Other hereditary hemolytic anemias","hematopoietic"
"378","282.8","Other hemoglobinopathies","hematopoietic"
"379","282.5","Sickle cell anemia","hematopoietic"
"380","283","Acquired hemolytic anemias","hematopoietic"
"381","283.1","Autoimmune hemolytic anemias","hematopoietic"
"382","283.2","Non-autoimmune hemolytic anemias","hematopoietic"
"383","283.21","Hemolytic-uremic syndrome","hematopoietic"
"384","285.8","Hemoglobinuria","hematopoietic"
"385","284","Aplastic anemia","hematopoietic"
"386","284.2","Constitutional aplastic anemia","hematopoietic"
"387","284.1","Pancytopenia","hematopoietic"
"388","285","Other anemias","hematopoietic"
"389","285.3","Sideroblastic anemia","hematopoietic"
"390","285.1","Acute posthemorrhagic anemia","hematopoietic"
"391","285.2","Anemia of chronic disease","hematopoietic"
"392","285.21","Anemia in chronic kidney disease","hematopoietic"
"393","285.22","Anemia in neoplastic disease","hematopoietic"
"394","286","Coagulation defects","hematopoietic"
"395","286.13","Congenital factor VIII disorder","hematopoietic"
"396","286.1","Congenital coagulation defects","hematopoietic"
"397","286.12","Congenital deficiency of other clotting factors (including factor VII)","hematopoietic"
"398","286.11","Von willebrand's disease","hematopoietic"
"399","286.5","Hemorrhagic disorder due to intrinsic circulating anticoagulants","hematopoietic"
"400","286.6","Defibrination syndrome","hematopoietic"
"401","286.4","Acquired coagulation factor deficiency","hematopoietic"
"402","286.7","Other and unspecified coagulation defects","hematopoietic"
